date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:03:32	129352/129352	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-brands-400d41d.eot	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:32	87352/87352	---M--	200	added ('OK')	application/font-woff	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-brands-400.woff	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:32	74508/74508	---M--	200	added ('OK')	application/font-woff2	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-brands-400.woff2	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:33	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-regular-400.eot	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:34	129048/129048	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-brands-400.ttf	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:35	13580/13580	---M--	200	added ('OK')	application/font-woff2	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-regular-400.woff2	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:35	16804/16804	---M--	200	added ('OK')	application/font-woff	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-regular-400.woff	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:35	689922/689922	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-brands-400.svg	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:35	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-regular-400d41d.eot	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:36	144451/144451	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-regular-400.svg	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:37	34092/34092	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-regular-400.ttf	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:37	192116/192116	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-solid-900d41d.eot	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:38	75440/75440	---M--	200	added ('OK')	application/font-woff2	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-solid-900.woff2	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:41	191832/191832	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-solid-900.ttf	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:41	839388/839388	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-solid-900.svg	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:42	192116/192116	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-solid-900.eot	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
23:03:42	98020/98020	---M--	200	added ('OK')	application/font-woff	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-solid-900.woff	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
